GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,BeanUtil,71,0,8,0,15,0,5,0,1,0
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,DefaultHttpClientConfig,22,37,0,0,11,17,11,17,11,17
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,AbstractHttpClientConfig,36,27,4,0,7,2,3,2,1,2
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,StoreProperties,0,27,0,0,0,10,0,5,0,5
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,CertificateLoader,80,201,20,20,15,50,19,11,1,9
Commons HTTP Async Client,io.wcm.caravan.commons.httpasyncclient.impl,HttpAsyncClientItem,24,223,3,25,7,58,4,20,1,9
Commons HTTP Async Client,io.wcm.caravan.commons.httpasyncclient.impl,HttpAsyncClientFactoryImpl,56,176,12,12,11,36,12,17,3,14
