GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,BeanUtil,57,0,8,0,9,0,5,0,1,0
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,DefaultHttpClientConfig,22,35,0,0,11,16,11,16,11,16
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,AbstractHttpClientConfig,36,23,4,0,7,2,3,2,1,2
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,StoreProperties,0,27,0,0,0,10,0,5,0,5
Commons HTTP Async Client,io.wcm.caravan.commons.httpclient.impl.helpers,CertificateLoader,88,201,20,20,17,50,19,11,1,9
Commons HTTP Async Client,io.wcm.caravan.commons.httpasyncclient.impl,HttpAsyncClientItem,32,211,3,25,7,53,4,18,1,7
Commons HTTP Async Client,io.wcm.caravan.commons.httpasyncclient.impl,HttpAsyncClientFactoryImpl,46,143,5,9,9,30,7,15,3,12
