GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons HTTP Client,io.wcm.caravan.commons.httpclient,HttpClientConfig,10,0,0,0,5,0,5,0,5,0
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,BeanUtil,8,57,0,8,2,13,0,5,0,1
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,DefaultHttpClientConfig,2,57,0,0,1,27,1,27,1,27
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,AbstractHttpClientConfig,0,63,1,3,0,9,1,4,0,3
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,StoreProperties,0,27,0,0,0,10,0,5,0,5
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,CertificateLoader,25,244,9,31,7,58,8,22,0,10
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl,HttpClientFactoryImpl,56,176,12,12,11,36,12,17,3,14
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl,HttpClientConfigImpl,13,365,4,28,4,93,4,42,0,30
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl,HttpClientItem,17,213,2,26,5,55,3,21,1,9
