GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons HTTP Client,io.wcm.caravan.commons.httpclient,HttpClientConfig,8,0,0,0,4,0,4,0,4,0
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,BeanUtil,14,43,2,6,2,7,2,3,0,1
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,DefaultHttpClientConfig,2,57,0,0,1,27,1,27,1,27
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,AbstractHttpClientConfig,0,59,0,4,0,9,0,5,0,3
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,StoreProperties,0,27,0,0,0,10,0,5,0,5
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl.helpers,CertificateLoader,33,256,9,31,9,58,8,22,0,10
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl,HttpClientFactoryImpl,59,164,7,11,10,33,10,16,4,13
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl,HttpClientConfigImpl,22,374,4,28,4,93,4,42,0,30
Commons HTTP Client,io.wcm.caravan.commons.httpclient.impl,HttpClientItem,25,213,2,26,5,55,3,21,1,9
