GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JSON Pipeline Cache Adapter for Couchbase,io.wcm.caravan.pipeline.cache.couchbase.impl,CouchbaseCacheAdapter.new HealthCheck() {...},14,6,4,0,1,1,3,1,1,1
JSON Pipeline Cache Adapter for Couchbase,io.wcm.caravan.pipeline.cache.couchbase.impl,CouchbaseCacheAdapter.new Observer() {...},18,18,0,0,2,4,1,3,1,3
JSON Pipeline Cache Adapter for Couchbase,io.wcm.caravan.pipeline.cache.couchbase.impl,CouchbaseCacheAdapter,107,346,16,16,15,55,16,16,3,13
