GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JAX-RS Publisher,io.wcm.caravan.jaxrs.publisher.impl,ServletContainerBridge,178,0,12,0,47,0,23,0,17,0
JAX-RS Publisher,io.wcm.caravan.jaxrs.publisher.impl,JaxRsComponentTracker,199,0,26,0,40,0,18,0,5,0
JAX-RS Publisher,io.wcm.caravan.jaxrs.publisher.impl,JaxRsBundleTracker,83,0,8,0,25,0,11,0,7,0
JAX-RS Publisher,io.wcm.caravan.jaxrs.publisher.impl,JaxRsClassesProviderTracker,155,0,8,0,32,0,7,0,3,0
JAX-RS Publisher,io.wcm.caravan.jaxrs.publisher.impl,JaxRsApplication,2,50,0,0,1,14,1,5,1,5
JAX-RS Publisher,io.wcm.caravan.jaxrs.publisher,ApplicationPath,0,23,0,2,0,6,0,4,0,3
