GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.metadata,ResponseMetadataGenerator.TimeMeasurement,0,27,0,0,0,9,0,5,0,5
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.metadata,ResponseMetadataGenerator.new RequestMetricsStopwatch() {...},0,27,0,0,0,4,0,2,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.metadata,ResponseMetadataGenerator.TimingResourceCategory,0,18,0,0,0,7,0,1,0,1
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.spi,HalResourceLoader,0,7,0,0,0,2,0,2,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.spi,HalApiReturnTypeSupport,0,2,0,0,0,1,0,1,0,1
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.spi,ExceptionStatusAndLoggingStrategy,0,7,0,0,0,3,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.spi,RhymeDocsSupport,0,54,0,2,0,9,0,2,0,1
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.client,HalResourceLoaderBuilder,0,4,0,0,0,1,0,1,0,1
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.client,HalApiClient,0,30,0,0,0,4,0,4,0,4
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,TemplateVariableDetection,0,364,0,22,0,63,0,23,0,12
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,HalApiReflectionUtils.MethodRelationComparator,0,40,0,8,0,10,0,6,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,DefaultHalApiTypeSupport,0,268,0,50,0,60,0,54,0,29
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,HalApiTypeSupportAdapter.NoAdditionalReturnTypeSupport,0,11,0,0,0,5,0,5,0,5
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,TemplateVariableDetection.TemplateVariableWithTypeInfo,0,30,0,0,0,11,0,7,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,HalApiReflectionUtils.EmbeddedResourceProxyInvocationHandler,0,64,0,8,0,16,0,6,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,RxJavaReflectionUtils,0,235,0,12,0,41,0,12,0,6
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,HalApiTypeSupportAdapter.NoAdditionalAnnotationSupport,0,17,0,0,0,8,0,8,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,CompositeHalApiTypeSupport,0,130,0,0,0,17,0,26,0,26
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,HalApiReflectionUtils,0,199,0,8,0,41,0,14,0,10
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,HalApiReflectionUtils.InterfaceCollector,0,39,0,2,0,11,0,4,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.reflection,HalApiTypeSupportAdapter,0,105,0,4,0,27,0,19,0,17
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api,RhymeBuilder,0,15,0,0,0,4,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.exceptions,HalApiServerException,0,17,0,0,0,6,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.exceptions,HalApiDeveloperException,0,9,0,0,0,4,0,2,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.api.exceptions,HalApiClientException,0,100,0,4,0,22,0,10,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.client.http,HttpHalResourceLoader,0,68,0,0,0,18,0,7,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.client.http,HttpHeadersParser,0,85,0,6,0,23,0,12,0,9
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.client.http,HttpUrlConnectionSupport,0,36,0,2,0,12,0,3,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.client.http,HttpHalResourceLoader.HttpClientCallbackImpl,0,304,0,18,0,70,0,22,0,13
Rhyme - Code Coverage/io.wcm.caravan.rhyme.core,io.wcm.caravan.rhyme.impl.client.http,HttpHalResourceLoader.HttpClientSupportException,0,9,0,0,0,4,0,2,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.adaptation,TemplateProxyPostAdaptationStage,0,122,0,2,0,32,0,13,0,12
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.adaptation,SlingModelPostAdaptationStage,0,202,0,6,0,42,0,24,0,21
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.adaptation,TemplateProxyPostAdaptationStage.new InvocationHandler() {...},0,37,0,2,0,5,0,3,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.adaptation,SlingResourceAdapterImpl.ResourceFilter,0,62,0,2,0,12,0,3,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.adaptation,SlingResourceAdapterImpl,0,495,0,20,0,79,0,52,0,42
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.adaptation,SlingResourceAdapterImpl.ResourceSelector,0,91,0,4,0,18,0,5,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl,RhymeResourceRegistry,0,138,0,6,0,30,0,16,0,13
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl,SlingRhymeImpl,0,334,0,24,0,70,0,31,0,19
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl,HalApiServlet,0,172,0,12,0,35,0,14,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.client,ApacheHttpClientFactorySupport,0,69,0,2,0,15,0,4,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.client,ResourceLoaderManager,0,18,0,0,0,7,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.resources,AemApiDiscoveryResourceImpl,0,25,0,0,0,6,0,4,0,4
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.docs,RhymeDocsBundleTracker,0,75,0,6,0,24,0,11,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.docs,RhymeDocsOsgiBundleSupport,0,64,0,4,0,18,0,10,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.docs,RhymeDocsServlet,0,77,0,6,0,18,0,8,0,5
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.api.resources,AbstractLinkableResource,0,36,0,4,0,8,0,5,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.util,PageUtils,0,71,0,6,0,14,0,9,0,6
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.util,ResourceStreams,0,102,0,0,0,30,0,15,0,15
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.parameters,QueryParamCollector,0,119,0,2,0,26,0,13,0,12
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.parameters,QueryParamInjector,0,127,0,10,0,29,0,14,0,9
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.parameters,QueryParamInjector.QueryParamAnnotationProcessor,0,22,0,2,0,8,0,5,0,4
Rhyme - Code Coverage/io.wcm.caravan.rhyme.aem,io.wcm.caravan.rhyme.aem.impl.linkbuilder,SlingLinkBuilderImpl,0,121,0,6,0,27,0,10,0,7
