GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HAL Browser,io.wcm.caravan.hal.browser.impl,HalBrowserRootForwardFilter,8,44,0,0,3,13,1,3,1,3
HAL Browser,io.wcm.caravan.hal.browser.impl,HalBrowserHttpServiceMounter,8,29,2,0,0,7,2,4,1,4
