GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Performance Metrics,io.wcm.caravan.common.performance,PerformanceMetrics,112,208,4,26,11,36,14,29,11,17
Commons Performance Metrics,io.wcm.caravan.common.performance,PerformanceMetrics.new Action0() {...},0,20,1,1,0,4,1,2,0,2
Commons Performance Metrics,io.wcm.caravan.common.performance,PerformanceLogger,56,13,3,1,8,5,3,3,1,3
Commons Performance Metrics,io.wcm.caravan.common.performance,PerformanceMetrics.new Action1() {...},20,0,2,0,4,0,3,0,2,0
Commons Performance Metrics,io.wcm.caravan.common.performance,PerformanceMetrics.new Action0() {...},0,23,1,1,0,5,1,2,0,2
