GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Metrics,io.wcm.caravan.commons.metrics.impl,GraphiteIntegrationConfig,54,0,0,0,12,0,7,0,7,0
Commons Metrics,io.wcm.caravan.commons.metrics.impl,GraphiteReporterMounter,16,101,4,6,0,21,4,10,2,7
Commons Metrics,io.wcm.caravan.commons.metrics.impl,BundleActivator,39,0,0,0,7,0,3,0,3,0
Commons Metrics,io.wcm.caravan.commons.metrics.impl,JvmMetricsMounter,153,0,2,0,13,0,6,0,5,0
Commons Metrics,io.wcm.caravan.commons.metrics.impl,MetricsServletMounter,97,0,6,0,11,0,12,0,9,0
Commons Metrics,io.wcm.caravan.commons.metrics.rx,TimerMetricsOperator,0,17,0,0,0,5,0,2,0,2
Commons Metrics,io.wcm.caravan.commons.metrics.rx,HitsAndMissesCountingMetricsOperator.new Subscriber() {...},5,37,0,2,2,7,1,4,1,3
Commons Metrics,io.wcm.caravan.commons.metrics.rx,HitsAndMissesCountingMetricsOperator,0,20,0,0,0,6,0,2,0,2
Commons Metrics,io.wcm.caravan.commons.metrics.rx,TimerMetricsOperator.new Subscriber() {...},9,25,0,0,3,6,1,3,1,3
